index_action	index_pros	index_cons	object_name	index_name	type_desc	indexed_columns	included_columns	filter_definition	is_primary_key	is_unique	is_disabled	has_unique	partition_number	fill_factor	is_padded	size_in_mb	buffered_mb	table_buffered_mb	buffered_percent	row_count	user_total_pct	estimated_user_total_pct	missing_index_impact	user_total	user_seeks	user_scans	user_lookups	user_updates	read_to_update_ratio	read_to_update	update_to_read	row_lock_count	row_lock_wait_count	row_lock_wait_in_ms	row_block_pct	avg_row_lock_waits_ms	page_latch_wait_count	avg_page_latch_wait_ms	page_io_latch_wait_count	avg_page_io_latch_wait_ms	tree_page_latch_wait_count	avg_tree_page_latch_wait_ms	tree_page_io_latch_wait_count	avg_tree_page_io_latch_wait_ms	read_operations	leaf_writes	leaf_page_allocations	leaf_page_merges	nonleaf_writes	nonleaf_page_allocations	nonleaf_page_merges	duplicate_indexes	overlapping_indexes	related_foreign_keys	related_foreign_keys_xml	key_columns	data_columns
---			[dbo].[PrsTrainingSkills]	--MISSING INDEX--	NONCLUSTERED	[CourseCode], [TrainingResult], [TrainingDate]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	7.69	93.36	1	1	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimStandDownBank]	--MISSING INDEX--	NONCLUSTERED	[TransactionType], [Date]	[EmployeeNumber], [ActualTime]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	51.72	2766.3	30	30	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimStandDownBank]	--MISSING INDEX--	NONCLUSTERED	[TransactionType], [Date]	[EmployeeNumber], [ActualTime], [WorkTimeFactor], [BankedTime]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	48.28	2548	28	28	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimHolidayAuthorised]	--MISSING INDEX--	NONCLUSTERED	[HolidayStartDate]	[EmployeeNumber], [HolidayEndDate], [HolidayReason]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	38.60	620.4	22	22	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimHolidayAuthorised]	--MISSING INDEX--	NONCLUSTERED	[DateAuthorised], [HolidayStartDate]	[EmployeeNumber], [HolidayEndDate], [HolidayReason]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	24.56	876.26	14	14	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimHolidayAuthorised]	--MISSING INDEX--	NONCLUSTERED	[HolidayReason], [HolidayStartDate]	[EmployeeNumber], [HolidayEndDate]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	10.53	89.16	6	6	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimHolidayAuthorised]	--MISSING INDEX--	NONCLUSTERED	[DateAuthorised]	[EmployeeNumber]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	8.77	259.65	5	5	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimHolidayAuthorised]	--MISSING INDEX--	NONCLUSTERED	[HolidayStartDate]	[EmployeeNumber], [StartActualDays], [StartTimeFrom], [StartTimeTo], [HolidayEndDate], [HolidayReason]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	7.02	99	4	4	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimHolidayAuthorised]	--MISSING INDEX--	NONCLUSTERED	[HolidayReason], [StartActualDays]	[EmployeeNumber], [HolidayStartDate], [StartTimeFrom], [StartTimeTo], [HolidayEndDate]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3.51	32.9	2	2	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimHolidayAuthorised]	--MISSING INDEX--	NONCLUSTERED	[StartActualDays]	[EmployeeNumber], [HolidayStartDate], [StartTimeFrom], [StartTimeTo], [HolidayEndDate], [HolidayReason]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3.51	29.94	2	2	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimHolidayAuthorised]	--MISSING INDEX--	NONCLUSTERED	[DateAuthorised]	[EmployeeNumber], [TimeAuthorised]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1.75	17.23	1	1	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimHolidayAuthorised]	--MISSING INDEX--	NONCLUSTERED	[HolidayStartDate], [DateAuthorised]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1.75	84.58	1	1	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimBEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[Department]	[EmployeeNumber]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	53.71	4601729.16	146412	146412	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimBEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[JobRecordingUsed], [ReconcileToTA]	[EmployeeNumber]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	15.88	882107.54	43283	43283	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimBEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[Department]	[EmployeeNumber], [JobTitle], [Grade], [GradePoint], [Branch], [GroupCode], [WorkPattern], [CostCentre], [TeamCode], [BankedHoursBalance]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	13.40	775748.52	36523	36523	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimBEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[Department]	[EmployeeNumber], [JobTitle], [Grade], [GradePoint], [Branch], [GroupCode], [WorkPattern], [AbsenceEntitlement], [CostCentre], [TeamCode], [AbsEntitlementHrs]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	8.16	1118936.56	22232	22232	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimBEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[PayLockFlag]	[EmployeeNumber], [JobTitle], [Grade], [GradePoint], [Department], [Branch], [GroupCode], [WorkPattern], [CostCentre], [TeamCode], [PayrollCompanyID], [PayAuthorisedFlag]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1.98	88106.62	5402	5402	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimBEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[TeamCode]	[EmployeeNumber], [JobTitle], [Grade], [GradePoint], [Department], [Branch], [GroupCode], [AccessGroup], [WorkPattern], [OffsetDays], [WorkCentre], [CostCentre], [NonProductiveCode], [StandownTimeBank], [EWTDOptedInDate], [EWTDOptedOut], [EWTDOverridePeriod], [EWTDAveragePeriod], [BankedHoursBalance]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1.90	209584.62	5166	5166	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimBEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[Department], [Grade]	[EmployeeNumber], [JobTitle], [GradePoint], [Branch], [GroupCode], [WorkPattern], [AbsenceEntitlement], [CostCentre], [TeamCode], [AbsEntitlementHrs]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1.61	279849.36	4396	4396	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimBEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[TeamCode]	[EmployeeNumber], [JobTitle], [Grade], [GradePoint], [Department], [Branch], [GroupCode], [AccessGroup], [WorkPattern], [OffsetDays], [WorkCentre], [CostCentre], [NonProductiveCode], [StandownTimeBank], [EWTDOptedInDate], [EWTDOptedOut], [EWTDOverridePeriod], [EWTDAveragePeriod], [BankedHoursBalance]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1.27	196963	3475	3475	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimBEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[Department]	[EmployeeNumber], [JobTitle], [Grade], [GradePoint], [Branch], [GroupCode], [WorkPattern], [CostCentre], [TeamCode], [PayrollCompanyID]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.41	45803	1124	1124	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimBEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[Department]	[EmployeeNumber], [JobTitle], [Grade], [GradePoint], [Branch], [GroupCode], [WorkPattern], [CostCentre], [TeamCode]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.40	70644.35	1085	1085	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimBEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[JobTitle]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.37	65994.96	996	996	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimBEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[Department]	[EmployeeNumber], [JobTitle], [Grade], [GradePoint], [Branch], [GroupCode], [WorkPattern], [HolidayEntitlement], [HolidayAccrued], [LongServiceHoliday], [HolidayBFwd], [CostCentre], [TeamCode], [HolidayYearOption], [PrevHolEntDays], [PrevHolEntHours], [HolEntitlementHrs], [HolidayAccruedHrs], [LongServiceHolHrs], [HolidayBFwdHrs], [PrevHolYrStart], [PrevHolYrEnd], [HolidayEntCode]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.17	13236.3	462	462	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimBEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[Department]	[EmployeeNumber], [StandownTimeBank], [HolEntitlementHrs], [HolidayAccruedHrs], [LongServiceHolHrs], [HolidayBFwdHrs], [BankedHoursBalance]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.14	21120.96	392	392	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimBEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[Department], [Grade]	[EmployeeNumber], [JobTitle], [GradePoint], [Branch], [GroupCode], [WorkPattern], [HolidayEntitlement], [HolidayAccrued], [LongServiceHoliday], [HolidayBFwd], [CostCentre], [TeamCode], [HolidayYearOption], [PrevHolEntDays], [PrevHolEntHours], [HolEntitlementHrs], [HolidayAccruedHrs], [LongServiceHolHrs], [HolidayBFwdHrs], [PrevHolYrStart], [PrevHolYrEnd], [HolidayEntCode]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.14	24163.6	386	386	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimBEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[Branch]	[EmployeeNumber], [Department]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.13	13395.36	344	344	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimBEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[Department], [Grade]	[EmployeeNumber], [JobTitle], [GradePoint], [Branch], [GroupCode], [WorkPattern], [CostCentre], [TeamCode]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.11	18619.2	288	288	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimBEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[Department]	[EmployeeNumber], [JobTitle]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.05	4201.2	135	135	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimBEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[Department]	[EmployeeNumber], [JobTitle], [Grade], [GradePoint], [Branch], [GroupCode], [AccessGroup], [WorkPattern], [OffsetDays], [WorkCentre], [CostCentre], [NonProductiveCode], [TeamCode], [StandownTimeBank], [EWTDOptedInDate], [EWTDOptedOut], [EWTDOverridePeriod], [EWTDAveragePeriod], [BankedHoursBalance]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.03	4794.57	87	87	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimBEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[TeamCode]	[EmployeeNumber], [Department]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.03	4209.66	78	78	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimBEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[TeamCode]	[EmployeeNumber]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.03	3889.38	71	71	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
